risk_id,country,iso3,risk_title,crisis_id,geographic_level,risk_type,date_entered,last_risk_update,published,publication_link,rationale,trigger,exposure,intensity,vulnerability,impact,probability,risk_level,status,_internal_filter_date
R0147,['Syria'],['SYR'],"The closure of the Bab Al Hawa crossing hampers humanitarian operations in northwestern Syria, resulting in unmet needs.",['SYR001'],National,New emerging risk,2021-06-16,2024-06-13T13:54:05.000Z,,,"Bab al-Hawa on the Syrian-Turkish border, remains open for UN humanitarian operations to northwest Syria (support civilians in parts of Idlib and Aleppo provinces). However, UN Security Council Resolution (UNSCR) 2533—which authorizes the UN to use that crossing—expires on July 10, 2021. Some 3 million Syrians displaced, sheltering in dire conditions in the northwest province of Idlib, would be directly affected.
UN Security Council (UNSC) negotiations on an extension of cross-border aid access to areas in northwest Syria are underway. In February, Russia signaled its intention to shut down the final remaining crossing, through Bab al-Hawa, in a Council vote ahead of the July 10 expiration. Russia’s foreign minister said Moscow disagrees that there is no alternative to deliver humanitarian aid to northwest Syria than from Turkey, insisting deliveries are possible across conflict lines within the country. He hinted that Russia will block U.N. renewal.
The UN Security Council’s decision was taken on to renew the cross-border resolution 2585 (2021) for 6 months of the Bab al-Hawa crossing point, on Syria's border with Turkey. ","Bab al-Hawa Crossing - UN Security Council Resolution (UNSCR) 2533 expires on July 10, 2021 with possible renewal ",">500,000",4,"Preexisting vulnerabilities and exhausted coping capacities following eleven years of war in Syria would exacerbate the humanitarian situation. Humanitarian needs and severity are already widespread. The pre-existing vulnerabilities include: 
1) Security risks, ISIS pocket, and socio-political and economic challenges, 
2) Divisions between NWS, NWS and overall Syria,
3) Presence of multiple armed groups and militias, backed by different groups,
4) Water scarcity,
5) Temperatures and extreme weather events,
6) Resource-constrained communities, 
7) Protracted displacement, 
8) Hosting refugees, 
9) COVID-19 

Vulnerable groups in Syria:
Women, including female-headed households,war widows, and pregnant and lactating women; Adolescent girls at risk of early or forced marriage; Unaccompanied and separated children; Children engaging in child labour or recruited by parties to conflict; displaced and host communities; People without documentation, 
",4,Low,Medium,Not materialised,2024-06-13
R0149,['Libya'],['LBY'],"The violent response to protests around the operation of the oil fields lead to displacement, casualties, and livelihood needs.",['LBY001'],Subnational,New emerging risk,2021-06-28,2024-06-13T13:54:05.000Z,,,"The deteriorated economic situation in the south of Libya led protesters to threat the government to close the oil fields in the southern region of Fazzan on May and late June 2021. The oil rich Fazzan region contains the two largest oil fields in the country, Al Shararah and Al Feel fields, both produci about 400,000 oil barrels daily, which amounts to one third of Libyan oil production. If protesters attempt to close the oil fields, it is expected that the Libyan army would react with a military operation to secure the fields which would likely result in tensions between the army, protesters, and tribal armed groups, and result in displacement, causalities and livelihoods needs. ","1. Lack of economic support from the government.

2. Deteriorating economic situation.

3. Tensions between the National Oil Corporation of Libya (NOC) and the Ministry of Oil and Gas. ","<20,000",2,Those directly caught in the violence would be the most affected ,2,Very Low,Low,Not materialised,2024-06-13
R0150,['Burkina Faso'],['BFA'],Violence in eastern Burkina Faso leads to displacement,['BFA002'],Subnational,Marked deterioration in an existing crisis,2021-07-07,2024-06-13T13:54:05.000Z,2021-07-07,,"Movement restrictions and ultimatums to leave villages imposed by armed groups in Cascades, Center-North, East, North, and Sahel regions are pushing thousands of people to flee. Some are fleeing to other parts of the country, while others have fled to Benin, Côte d'Ivoire, Mali, and Niger. The presence of armed groups is isolating some villages from the rest of the country, creating shortages of essentials items and increasing humanitarian needs. Armed groups generally control the different access points to the villages to regulate or prevent the entry of medicine and goods. Movement restrictions also often take place in retaliation.

The armed groups regularly destroy or damage schools and health centres, leading to many teachers and health workers leaving their workplace to flee threats and intimidation from armed groups. At the same time, repeated attacks prevent people from going to the fields. This trend is likely to worsen the food insecurity situation in the country.","- General insecurity
- Increased presence of armed groups
- Movement restrictions by armed groups
- Shortages of essential products","20,000-100,000",4,A lack of availability and access to services and high access constraints for humanitarian organisations limit their capacity to respond to the expected increase in needs.,3,High,High,Active,2024-06-13
R0151,['Eswatini'],['SWZ'],"Social unrest in Eswatini result in the disruption of harvest, access constraints, and increased food insecurity levels.",['SWZ001'],National,New emerging risk,2021-07-12,2024-06-13T13:54:05.000Z,,,"More detentions of leaders of opposition parties and police using excessive force against protestors is likely to re-escalate political unrest in Eswatini, cause disruption to harvest activities, create access constraints for humanitarian and non-humanitarian activities, and increase food insecurity levels.

Social unrest and pro-democracy protests in Eswatini - that escalated on 28 June – and lasted for a month affected food insecurity, as looting of NGOs’ assets, internet blackout, and fuel shortages hindered the delivery of aid. 
Chaos led some citizens to loot one NGO’s supplies. Internet blackout delayed the entry process of goods trucks, which is handled online. Trucks supplying supermarket chains were held up at Oshoek border post during the first week of July. Fuel shortage affected movement of trucks carrying humanitarian aid and non-humanitarian goods. 
Although the situation had been stabilized and peace and security had been somewhat restored, some sporadic events and arbitrary detentions of members from opposition parties are still taking place. It is estimated that Eswatini security forces have killed 70 protesters and arrested more than 600 as of mid-August. Lack of information is due to frequent shut down of internet services and the intimidation, arrest, and beating of journalists. 

Social unrest has re-escalated in October. About 17 students, including a seven-year-old, were arrested on 11 October during  pro-democracy demonstrations taking place in schools. Students have been boycotting classes to demand for better learning conditions, free education, and the release of two lawmakers arrested during July’s demonstrations. The government deployed soldiers and police across schools in Eswatini to stop the demonstrations. 

Authorities in Eswatini ordered indefinite closure of all schools on 16 October, affecting access to education for children and young people. As of 20 October, at least 28 people died because of clashes between protestors and soldiers. A complete shutdown of internet services took place on 15 October for 2 hours. Public transport was also at a standstill over the weekend.

On 20 October, one person died, and 80 others injured in Mbabane and Manzini cities during pro-democracy protests. Police used live ammunition and tear gas against students as they prepared to gather for a protest.

No more events occured between Ocotber 2021 and January 2022",More detentions of leaders of opposition parties and police using excessive force against protestors.,"250,000-500,000",2,"The affected population can meet their food needs by applying, temporarily, some coping strategies, including selling assets, borrowing money and
withdrawing children from school.",3,Low,Medium,Not materialised,2024-06-13
R0152,"['Ethiopia', 'Sudan']","['ETH', 'SDN']",The speed filling of the reservoirs of the Grand Ethiopian Renaissance Dam leads to a water crisis and the disruption of agricultural and water-dependent livelihood activities in Sudan.,,Regional,New emerging risk,2021-07-12,2024-06-13T13:54:05.000Z,,,"The speed-filling of the GRED scheduled at the beginning of 2022 is likely to increase tension between Ethiopia and Sudan and result in shortages of water resources for Sudan, mainly in the Nile River, Blue Nile, and Sennar states and disrupt livelihood activities that are dependent on water. 
The Grand Ethiopian Renaissance Dam (GERD) has been a source of tension between Sudan and Ethiopia for more than 10 year. The GERD is located in Ethiopia’s western Benishangul-Gumuz regional state, only 15 kilometers from the border with Sudan. The reservoir of the GERD are filled from the Blue Nile, which is the main source of water for Sudan. It has only been filled twice until now, and the third filling will take place at the beginning of 2022. Tensions between the two countries increase with each filling, as Sudan is likely to suffer from shortages of water resources. 
Analysts expect that when the GERD’s reservoir are completely filled, 50% of land (50,000 feddans) that depends on spate irrigation in the Nile River, Blue Nile, and Sennar states will be affected. About 20 million people will be affected in three agricultural seasons. The country will turn to high-cost irrigation, especially with the lack of electricity and petroleum materials. Lack of silt from the Nile means less natural nourishment for agricultural lands and the disruption of the red brick industry. Levels of groundwater will decrease, and it requires high costs to compensate. 
Agricultural activities in Sudan are likely to be at risk of massive flooding in case of any mismanagement of the GERD’s filling operations or overfilling the GERD. People living around the Ethiopian-Sudanese borderlands will be highly affected. Previously in September 2020, three million people were affected and more than 100 killed because of a flooding of the Blue Nile, while the flooding’s waste damaged two-thirds of the country’s cultivated land.

The situation as of April 2022: Ethiopia scheduled a third filling in July 2022 and on 20 February, it started electricity production using the GERD. 
",Tension increases after the third filling of the GERD scheduled at the beginning of 2022. ,">500,000",4,"Although a high number of people are expected to be affected, the presence of services and humanitarian organisations, as well as national preparedness mechanisms would lower the severity of impact.  ",3,Low,Medium,Not materialised,2024-06-13
R0153,['South Africa'],['ZAF'],"The resumption of former president Jacob Zuma’s trial is likely to re-escalate violent protests, leading to shortages of food, fuel, and medical supplies, as well as financial losses for business owners.",,National,New emerging risk,2021-07-13,2024-06-13T13:54:05.000Z,,,"Resuming of the trial of Jacob Zuma, which has been postponed since July due to the protests and his deteriorating health condition, is likely to re-escalate protests and result in shortages of food and fuel, looting, and financial losses for business owners. 

Violent protests that started in July and continued for a month resulted in the death of 335 people. 
Supporters of former president of South Africa, Jacob Zuma, lead the protests, blocking roads and looting shops in two densely populated provinces, Gauteng (the economic hub of Johannesburg) and KwaZulu-Natal (Zuma’s hometown province). The South African military deployed around 2,500 soldiers to the two provinces to control the protests, resulting in more violent riots. 
Zuma is facing a list of 18 charges including fraud, corruption, and money laundering related to an arms deal when he was deputy president in 1999. He is also facing charges from the period 2009- 2018 when he was president. However, he handed himself over to police on 9 July to serve a 15-month jail term for contempt of court, after defying its order to provide evidence and collaborate. 
The riots and looting resulted in shortages of food, fuel, and medical supply. More than 200 shopping centres have been looted, and property destruction costs are reported to be above 1 billion USD, according to local sources.

Based on the July protests, fears of food and fuel shortages due to disruption to farming, manufacturing, and oil refining are likely in case of re-escalation. People are likely to steal food and other products from malls and small shops. Business owners are likely to be heavily affected as many of South Africa’s small, medium-sized, and micro enterprises are not insured, making recovery challenging after such damage to their businesses.

As of April 2022, Zuma's trial is still ongoing, but there hasn't been any impact or violent events since July 2021. 
","Resuming of former President, Jacob Zuma’s trial ","20,000-100,000",2,"Although a high number of people are expected to be affected, the presence of services and humanitarian organisations, as well as national preparedness mechanisms, lower the severity of impact.  ",3,Low,Medium,Not materialised,2024-06-13
R0154,['Chad'],['TCD'],Flooding in Chad results in deteriorated living conditions,,National,New emerging risk,2021-07-19,2024-06-13T13:54:05.000Z,2021-07-19,,"According to Chadian authorities, 10,200 food and non-food kits will be needed in 14 provinces at risk of floods for the rainy season. Excess rains are expected in Bahr El Gazel, Batha, Guera, Hadjer Lamis, Kanem, Lac, Ouaddai, Salamat, Sila, and Wadi Fira regions. The potential impact of this forecast may include local flooding, a proliferation of diseases (such as malaria and cholera), a proliferation of livestock diseases, and crop destruction. The consequences of the rainy season are already being particularly felt in Ennedi-Ouest and Tandjilé prefecture. In Chad, the rainy season begins in mid-May and ends in October.","- Rainy season
- Settlement in flood-prone areas
","20,000-100,000",,"The effects of climate hazards are intensifying throughout the country, with significant changes in the climate resulting in torrential rains, floods, and droughts, causing upheavals in human living conditions. Humanitarian organisations are implementing initiatives to strengthen the community resilience of flood-affected populations, particularly for access to and the management of water points.",2,Medium,Medium,Materialised,2024-06-13
R0157,['DPRK'],['PRK'],"The detection of COVID-19 cases causes the Government to (re-)enact strict border controls that worsen food insecurity, resulting in lower food consumption and nutritional diversity levels among the most vulnerable.",['PRK001'],National,Marked deterioration in an existing crisis,2021-07-23,2024-06-13T13:54:08.000Z,,,"The Democratic Republic of North Korea (DPRK) is experiencing a complex crisis driven by a weak resilience to natural disasters and weather shocks, low agricultural productivity, unsustainable economic and agricultural practices, and international sanctions (against DPRK’s nuclear program) that delay and constrain humanitarian response and affect the economy (Korea Science 01/03/2019; UNICEF 2019; FAO 05/2019; Center for Humanitarian Leadership 04/2020; Observer Research Foundation 02/07/2021; 38 North 22/08/2019). Food distribution is managed entirely by the centralised government, upon which people depend on access to food. Food insecurity is chronic and affects 40% of the total population (DPRK Needs and Priorities 2020; VOA 20/10/2021).  All these factors are compounded by the governmental response to COVID-19 pandemic since January 2020. (DPRK Needs and Priorities 22/04/2020; VOA 20/10/2021).  All these factors are compounded by the governmental response to COVID-19 pandemic since January 2020. 
Prolonged border closures as part of COVID-19 containment measures have significantly reduced trade by up to 90% and constrained import of aid on which the DPRK relies to cover its chronic food gap (Nikkei Asia 18/01/2022). In early 2022, the DPRK has allowed resumption of some aid imports after being subject to delays over prolonged quarantine measures, however, other much needed aid supplies including food remain blocked (Reuters 16/01/2022; Korea Herald 11/02/2022). There are significant information gaps around the severity of needs in the DPRK. However, increased food insecurity, malnutrition caseloads and mortality rates are highly likely in 2022 (UNICEF 19/02/2021; UN 08/10/2021). Humanitarian funding has also been constrained, and this will cause additional setbacks for humanitarian response in 2022 (OCHA accessed 23/02/2022) 
The DPRK has not accepted any COVID-19 vaccinations, and instead has relied on severe preventative measures against the spread of COVID-19 (WHO 23/02/2022; France24 23/02/2022). Although the DPRK reports no COVID-19 cases to date, outbreak remains a possibility, especially with the necessary slow re-opening of borders for imports. In the case of a COVID-19 outbreak the DPRK is likely to re-impose the strict border closures, restrictions on internal movement, and quarantine measures (Brookings Institute 22/11/2021; WHO 16/02/2022; The Diplomat 05/02/2022).  
","-strict measure to prevent a COVID-19 outbreak
-slow reopening/resumption of some imports 
-COVID-19 spread remaining a threat
-pre-existing food insecurity and economic vulnerabilities ",">500,000",4,"Pregnant and lactating women;
children under 5; 
elderly;
people  with special needs;
prisoner,  particularly political prisoners.
These are most vulnerable groups to food insecurity in the DPRK",4,Low,Medium,Materialised,2024-06-13
R0158,['Tunisia'],['TUN'],"Prolonged sociopolitical unrest leads to violent protests and localised violence, resulting in protection and human rights concerns, humanitarian access impediments, and a disruption of the COVID-19 response.",,National,New emerging risk,2021-07-27,2024-06-13T13:54:08.000Z,,,"Tunisian President Kais Saied suspended parliament, revoked legislators’ parliamentary immunity, and dismissed Prime Minister 
Hichem Mechichi on 25 July in response to increasing protests 
against the failure of the COVID-19 response and the economic 
crisis.  In 2020, the GDP contracted by almost 9%, 
and unemployment among young people increased to over 40% 
(GIEWS 27/07/2021). The President’s decision led to a deepening constitutional crisis.  Kais Saied extended the parliament’s suspension indefinitely on  23 August and refused to hold dialogue with the Ennahda party,  which holds the majority of seats in the suspended government 
(Reuters 15/09/2021; Washington Institute 31/08/2021; Al 
Jazeera 24/08/2021). On 22 September, the President’s public 
statements suggested he is likely to seek further constitutional 
reform, which could entail complete dissolution of the parliament 
and drafting of a new constitution, possibly with a more presidential system. On 29 September, the President named a new 
prime minister, Najla Boden (Al Jazeera 22/09/2021; France 24 
12/09/2021; African Arguments 30/08/2021). At the same time, 
the opposition is consolidating against the presidential moves 
and calling on the President, the army, and the judiciary to respect 
the current constitution (MEMO 19/09/2021).
Increasing protests took place in September, both in support 
of and in opposition to presidential decisions (Al Jazeera 
19/09/2021). Growing sociopolitical unrest is likely to trigger 
violent police and army response, with the president warning 
that any violent protests will be met with a military response. 
The army’s support of the presidential power grab is concerning, 
as the Tunisian army rarely gets involved in political matters 
(Foreign Policy 2/09/2021; Al Jazeera 25/07/2021). The protests are likely to be aggravated by the prevailing political and 
prolonged economic crisis. Higher mobilisation is anticipated if 
the economic crisis pushes the President to introduce new austerity measures or changes in subsidy policies (ICG 28/07/2021; Reuters 05/05/2021).

Increased protests are likely to trigger disproportionate police 
response, as the police already were reported using pepper spray 
against protesters and storming news agencies associated with 
the government (Al Jazeera 25/07/2021; International Crisis 
Group 28/07/2021). More violent protests are likely to increase 
during December–January because of the anniversary of the 
Jasmine Revolution. If violence erupts, it is expected to happen in 
Tunisia’s three most populated cities: Sfax, Sousse, and Tunis. Up 
to 100,000 people across Tunisia, including migrants, would likely 
be most affected by the economic downturn and face humanitarian needs (UNDP 15/12/2020; UNHCR)

UPDATE:
Social and political dissatisfaction in Tunisia resulted in some violent demonstrations and human rights violations. The Tunisian president Kais Saied extended the parliament suspension until a new election on 17 December 2022 and announced a constitutional referendum to be held on July 2022. (Middle east eye 13/12/2021, Swissinfo 13/12/2021, Crisisgroup 27/01/2022). The president also terminated the Supreme Judicial Council and named a new temporary one (Swissinfo 13/02/2022, DW 06/02/2022). Those exceptional measures led to violent protests since November 2021. Riot police are reported to have used tear gas, sticks, and water cannons against the protesters, which has resulted in one death and injuries (Reuters 14/11/2021, Aljazeera 17/12/2021, DW 14/01/2022, Aljazeera 20/01/2022). Opposition movements have faced human rights violations and arbitrarily arrests (CNN 22/12/2021, Amnesty 14/01/2022).Protests occurred on 17 December 2021 and 14 January 2022 which is the Jasmin anniversary that moved from January 14 to December 17.  (Bloomberg 12/01/2022, Aljazeera 17/12/2021, Voanews 14/01/2022). 
Migrants and refugees’ socioeconomic situation deteriorated and many of them are without jobs. They are subject to exploitation such as human trafficking, forced labour, and arbitrary arrests. Migrants protested on 14 February asking for evacuation from Tunisia (Infomigrants 15/02/2022, Africanews 15/02/2022). Migrants continue attempting to cross to Europe by sea for better opportunities (Infomigrants 21/01/2022, Reuters 26/11/2021, Arab News 22/01/2022, Infomigrants 28/01/2022). 

","1. The president warned that any violence will be met with military response. Police was reported to use pepper spray against protesters and storm news agencies associated with the government.
2. Three big parties in the parliaments are against the decision to suspend parliament and are asking people to support them. ","20,000-100,000",3,"Socio-economic vulnerabilities are reported.
Migrants",3,Low,Medium,Materialised,2024-06-13
R0162,"['Lebanon', 'Israel']","['LBN', 'ISR']","Continued tensions between Lebanon and Israel and the failure of the ceasefire lead to possible conflict escalation, affecting civilians and civilian objects.",,Regional,New emerging risk,2021-08-08,2024-06-13T13:54:08.000Z,,,"There is increase in fire exchange and continued tension between Lebanon and Israel in the last weeks, particularly along the Blue Line. Several incidents involving the Hezbollah Forces and the Israel Defense Forces were reported. Tensions increased particularly since May when multiple  hostilities were reported across the Blue Line or sea. In August, Hezbollah fired rockets at open ground near Israeli positions in response to Israeli air raids on southern Lebanon, followed by retaliatory Israeli strikes. Throughout 2021, Israeli overflights were reported almost daily, violating UNSCR 1701 (2006). Both parties targeted open land and indicated that they did not wish to escalate, however, such type of attacks highlight the continued risks to stability in Lebanon particularly amidst lack of progress towards a permanent ceasefire. ",Increased exchange of fire between Lebanon and Israel and shelling.,"250,000-500,000",5,"Preexisting vulnerabilities and exhausted coping capacities following two years of the socioeconomic crisis, stagnated government formation and solutions, hosting 1.5 million Syrians who have fled the conflict in Syria and about 180,000 Palestinian refugees, and Beirut explosion. Humanitarian needs and severity are already high and widespread. The pre-existing vulnerabilities including: 
1) Security risks, 
2) Political and ethnic tensions and presence of armed groups 
3) Resource-constrained communities, 
4) COVID-19,
5) Basic services are overstretched and or not functional,
6) Logistical and administrative constraints make challenge smooth roll out of humanitarian activities.

Not everyone with the same characteristics will experience the same level of vulnerability. Women in general; Adolescent girls at risk of early or forced marriage; Unaccompanied and separated children; Children engaging in child labour; Tensions between refugee and host communities; Refugee without documentation; Rural vs Urban; Refugees, asylum seekers, migrants and the economically vulnerable population.
Israel’s humanitarian needs are not life-threatening and can be met without having to adopt negative or irreversible coping strategies. ",5,Low,Medium,Not materialised,2024-06-13
R0163,['Syria'],['SYR'],The collapse of the 2018 reconciliation agreement and increased hostilities in southern Syria lead to increased displacement and the deterioration of humanitarian needs.,['SYR001'],National,New emerging risk,2021-08-08,2024-06-13T13:54:08.000Z,,,"The southern city of Dara’a al-Balad, Dara'a governorate, is seeing intense fighting and shelling by Syrian Government forces and armed opposition groups in recent weeks. Hostilities between Government forces and armed groups escalated starting from July, due to failure to reach an agreement on reconciliation rules. The Government of Syria (GoS) wants to impose a tighter control on roads in and out of Daraa al-Balad and its neighbourhoods, while  members of armed groups are requested to surrender, hand over their weapons and relocate to northern Syria. The ongoing violence is considered a significant development since most of the Deraa province came back under government control in 2018. The violence affected the ability to meet basic needs for nearly 50,000 civilians. About 24,000 people, including IDPs and Palestinian refugees, have reportedly been displaced to Dara’a city and surrounding areas.  So far, eight civilian deaths and six injuries were reported. The risk of a wider military operations could hinder the current situation, leading to more civilian casualties, displacements, and unmet needs. ",Further advancement from government forces into Dara's and further military attacks between GoS forces and opposition groups ,"100,000-250,000",5,"Preexisting vulnerabilities and exhausted coping capacities following eleven years of war in Syria would exacerbate the humanitarian situation. Humanitarian needs and severity are already widespread. The pre-existing vulnerabilities include: 
1) Security risks, ISIS pocket, and socio-political and economic challenges, 
2) Divisions between NWS, NWS and overall Syria,
3) Presence of multiple armed groups and militias, backed by different groups,
4) Water scarcity,
5) Temperatures and extreme weather events,
6) Resource-constrained communities, 
7) Protracted displacement, 
8) Hosting refugees, 
9) COVID-19 

Vulnerable groups: 
Not everyone will experience the same level of vulnerability. Women, including female-headed households, war widows, and pregnant and lactating women; adolescent girls at risk of early or forced marriage; unaccompanied and separated children; children engaging in child labour or recruited by parties to conflict; displaced and host communities; people without documentation
",5,Low,Medium,Not materialised,2024-06-13
R0164,['South Sudan'],['SSD'],The resurgence of armed conflict between the Government and opposition military forces worsens humanitarian needs and leads to increased access constraints.,['SSD001'],National,Marked deterioration in an existing crisis,2021-08-10,2024-06-13T13:54:08.000Z,,,"On 4 August, top generals within the SPLM-IO attempted to depose Vice President Riek Machar as head of the party and replace him with his chief of staff General Simon Gatwech. They were unsuccessful and Machar later announced that he still retained full control of the party. Troops allied to Machar and Gatwech clashed over the weekend of 7-8 August. There is widespread concern that this power struggle will affect the revitalized peace accord which had ended the civil war. Riek Machar was one of the main signatories in the peace agreement, but his influence/power now seems to be weakening. The faction led by General Gatwech has very different views on the peace agreement, and is extremely dissatisfied with the current state of affairs relating to its implementation. IGAD (regional body of Eastern African countries) convened an emergency meeting to address this issue and safeguard the peace agreement.
At least 8.3 million people in South Sudan need humanitarian assistance, and renewed civil war would exacerbate their needs.",Internal conflict and power struggle within the SPLM-IO; a certain faction of the SPLM-IO party led by General Simon Gatwech attempted to oust Machar as head of the party; Gatwech faction having more radical views on implementation of the Revitalized Peace Agreement,">500,000",5,High pre-existing vulnerabilities among the South Sudanese population due to a long period of civil war and recurrent floods.,5,Low,Medium,Not materialised,2024-06-13
R0165,"['Iran', 'Israel']","['IRN', 'ISR']","An escalation of tensions and military operations between Israel and Iran lead to regional conflict, with humanitarian consequences.",,Regional,New emerging risk,2021-08-11,2024-06-13T13:54:08.000Z,,,"There have been increased tensions between Israel and Iran, particularly involving attacks against tankers/vessels in the Arabian Sea, intelligence operation and by proxy attacks in Syria. Both parties deny the accusations. The tensions did not spark a broader conflict as of now. However, the Israeli defense minister in a recent interview has stated that Iran represents “a global and regional problem” and ""at a point where we need to take military action against Iran"". Both countries have nuclear weapons and capabilities, besides the advanced conventional forces. The current scenario indicates that the so-called 'shadow war' will likely continue. However, the risk of tensions turning into a wider conflict remain; such escalation could drag all the Middle East into a regional war. ","Increase in the number of attacks against sea tankers belong to Israel or Iran.

Increased US coercive economic measures against Iran and its allies.

Failure of diplomatic measures

Cyber attacks and maritime operations ",">500,000",5,"Israel’s humanitarian needs are not life-threatening and can be met without having to adopt negative or irreversible coping strategies. 

Preexisting vulnerabilities and climatic shocks have exacerbated the humanitarian situation in Iran. Humanitarian needs are not life-threatening and can be met without having to adopt negative or irreversible coping strategies. However, the situation is different between different areas and refugees are more vulnerable sur to their statelessness. 

",5,Very Low,Low,Not materialised,2024-06-13
R0184,['Libya'],['LBY'],Repeated attacks by assailants on the largest water supplier in Libya lead to impediments to water access mainly in Tripoli region.,['LBY001'],Subnational,Marked deterioration in an existing crisis,2021-08-15,2024-06-13T13:54:08.000Z,,,"An armed group close to the former intelligence chief “Abdullah Al-Sanusi” broke in and attacked the water company “Man-Made-River” and forced the water supplier to stop operations threatening to attack the water pipelines if “Abdullah Al-Sanusi” was not released within 72 hours. This incident happened on 14/08/2021. Earlier late July 2021, an explosion targeted in the water transmission line in Tazerbo, Benghazi located close to the city of Awjila, leading to a large volume of water wasted.
The repeated attacks on the Man-Made River water company and using water as a tool of political pressure on the authority is putting over 2 million people at risk of water shortages. Especially, vulnerable population in health institutions, detention centers, migrants and refugees. 
",Repeated attacks (trend being monitored),">500,000",4,"Poor households or people, including migrants and IDPs, are expected not to be able to afford the costs of trucked water",5,Low,Medium,Not materialised,2024-06-13
R0185,['Niger'],['NER'],The national and regional spread of a cholera outbreak increases health and WASH needs in Niger.,['NER001'],National,New emerging risk,2021-08-21,2024-06-13T13:54:08.000Z,,,"A surge of cholera cases to be feared in Niger as a result of heavy rains expected until October. At least 64 people have died and 69,515 people have been affected by heavy rains since June. Floods and landslides destroyed or damaged more than 5,100 houses. 
In Niger, cholera outbreaks have been recorded especially since 1990. The most recent dates back to 2018 starting with patients originating from the Jibiya health Centre in neighbouring Nigeria. This outbreak affected 3,824 people with at least 78 deaths and a case fatality rate of 2%. The Madarounfa health district in the Maradi region was the most affected with 2,638 cases, (68.88%) of the reported cases. 

UPDATE (Risk materialised): In Niger, the Minister of Public Health declared a cholera epidemic on 9 August. As of 12 October, 5,343 confirmed cases including 156 deaths, have been reported, for a case fatality rate of 2.9%. The most affected regions are Maradi with 3,011 cases and 49 deaths, Tahoua with 1,239 cases and 64 deaths, Zinder with 566 cases and 20 deaths, Tillabéry with 307 cases and 10 deaths, and Niamey with 112 cases and 12 deaths. ",Forecasted flooding; cholera outbreak in Nigeria; cross-border movement and porous borders ,"<20,000",2,"Lack of sufficient and proper WASH and health infrastructure makes the outbreaks difficult to prevent. More than 280,000 IDPs and around 186,000 Nigerian refugees are reported in Niger as of September 30, 2021. These populations are left homeless due to attacks by armed groups and climatic events such as floods, fires and drought. Some of these populations make makeshift shelters on flood-prone or disputed land. Newly occupied spontaneous displacement sites often lack WASH infrastructure as well as health facilities. Increase in health needs in all the affected regions",2,Medium,Medium,Materialised,2024-06-13
R0186,['India'],['IND'],Violence and conflict in Jammu and Kashmir increase as a secondary impact of Taliban's takeover of Afghanistan.,['IND002'],Subnational,Marked deterioration in an existing crisis,2021-08-27,2024-06-13T13:54:08.000Z,,,"Kashmir region is disputed between India, Pakistan and China since 1947. Separatist militants/armed groups in Jammu and Kashmir have long had support from armed groups in Pakistan and Afghanistan. Non-state armed groups based in Pakistan that support separatists in Jammu and Kashmir include members affiliated with Jaysh-el-Mohammad (JeM) and Lashkar-el-Toiba (LeT), which have been active in the pro Taliban Haqqani network. In August 2021, the Taliban took over Afghanistan; it is likely that armed groups in Jammu and Kashmir will become emboldened by Taliban's takeover, particularly because in August 2019, the Indian government issued a presidential decree revoking Articles 370 and 35A, which had given Jammu and Kashmir special autonomous status. This was the most far-reaching political move concerning the disputed region in nearly seven decades. Jammu and Kashmir was further downgraded from a state to a union territory, officially placing it entirely under the jurisdiction of the central government. This downgrade increased international tensions over the disputed region between India, Pakistan and China. Although the number of militants in the territory had decreased since 2019 because of India's increased security control (the number of active foreign militants in Indian Kashmir was 143 in 2018, 138 in 2019 and then down to just 23 in 2020) it is increasing again (50 militants as at 30 Sep 2021) following Taliban's take over. Many of the militants are accessing Jammu and Kashmir from Pakistan's northern Punjab Province and tribal areas bordering Afghanistan. This may lead to increased militant attacks in Jammu and Kashmir. Russia and China stated readiness to counter terrorism and drug trafficking threats from Afghanistan after the Taliban's takeover, indicating that the increased threat of armed group attacks and criminal operations spillover in the region is real, and this includes the disputed Kashmir region. There is also a concern among local politicians in the Indian administered Kashmir of increased political violence against them because of this development that put their lives at risk. In November 2021, India deployed additional 5,500 troops to the region because of the increase in number of militant attacks that resulted in 39 casualties in October including 13 civilians. ","Increase in armed group presence in Jammu and Kashmir that is facilitated by the regional development in Afghanistan, providing space for networking between armed groups. ","<20,000",1,Minority groups and politicians are at risk of political violence. ,1,Medium,Medium,Materialised,2024-06-13
