,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,"Socio-political,Displacement",3.5,4,High,Decreasing,High,3,4,2.3,3.25,3.5,3,4.3,3.3,5,Africa,2023-01-25 00:00:00
Mixed migration flows in spain,Mixed Migration,ESP002,Spain,ESP,Displacement,1.8,2,Low,Stable,Very High,2.6,2.3,2.8,1.5,2,1,1.6,1.6,1.5,Europe,2023-01-27 00:00:00
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,"Displacement,Floods,Conflict",4.3,5,Very High,Stable,Very High,4.2,5,3.7,4.5,5,4,4.2,3.8,4.5,Africa,2023-01-27 00:00:00
International Displacement,International Displacement,ETH003,Ethiopia,ETH,Displacement,3.3,4,High,Increasing,High,3.9,5,3,2.6,3.2,2,3.7,3.8,3.5,Africa,2023-01-27 00:00:00
Northern Ethiopia Conflict,Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,"Conflict,Displacement",4.3,5,Very High,Increasing,Very High,3.9,2.9,4.3,4.5,5,4,4.2,3.8,4.5,Africa,2023-01-27 00:00:00
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,Drought,3.7,4,High,Increasing,Very High,3.2,4,2.7,4,5,3,3.7,3.8,3.5,Africa,2023-01-27 00:00:00
Flood crisis in Gambia ,Floods in Gambia ,GMB002,Gambia,GMB,Floods,1.6,2,Low,Decreasing,High,2.4,3.3,1.8,1.05,1.1,1,1.8,2.4,1,Africa,2022-11-04 00:00:00
Mixed migration flows in Greece,Mixed Migration,GRC002,Greece,GRC,Displacement,1.4,2,Low,Stable,Medium,1.6,0.3,2.2,1.25,0.5,2,1.5,1.5,1.5,Europe,2023-01-20 00:00:00
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,"Violence,Socio-political,Other seasonal event",3.5,4,High,Decreasing,Very High,3.7,4.4,3.2,3.75,4.5,3,3.1,3.2,3,Americas,2023-01-30 00:00:00
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,"Violence,Socio-political,Other seasonal event,Cyclone",3.4,4,High,Stable,Very High,3.6,4.2,3.3,3.6,4.2,3,2.8,3,2.5,Americas,2023-01-26 00:00:00
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,"Earthquake,Violence,Socio-political,Other seasonal event",4.2,5,Very High,Stable,High,3.9,4,3.8,4.7,4.4,5,3.6,3.2,4,Americas,2022-12-26 00:00:00
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,Earthquake,2.9,3,Medium,Decreasing,Very High,2.6,2.4,2.7,3,3,3,3.1,3.2,3,Americas,2022-12-26 00:00:00
Displacement from Ukraine conflict in Hungary,Displacement from Ukraine conflict,HUN002,Hungary,HUN,"Conflict,Displacement",1.5,2,Low,Decreasing,Very High,1,0.4,1.3,1.95,0.9,3,1.2,1.4,1,Europe,2023-01-16 00:00:00
Papua Conflict,Papua Conflict,IDN002,Indonesia,IDN,"Socio-political,Violence",2.5,3,Medium,Decreasing,Medium,2.9,2.1,3.3,1.85,1.7,2,3.2,2.8,3.5,Asia,2023-01-29 00:00:00
Country Level,Country Level,IDN007,Indonesia,IDN,"Earthquake,Socio-political,Violence",2.5,3,Medium,-,High,2.6,2.6,2.6,2,2,2,3.2,2.8,3.5,Asia,2022-11-29 00:00:00
Earthquake in West Java province,Earthquake in West Java,IDN008,Indonesia,IDN,Earthquake,2.1,3,Medium,-,Very High,2.3,1.6,2.6,1.65,1.3,2,2.7,2.8,2.5,Asia,2023-01-29 00:00:00
Conflict in Jammu and Kashmir,Kashmir conflict ,IND002,India,IND,Socio-political,x,x,x,-,Very Low,2.6,2,2.8,x,x,x,2.2,2.4,2,Asia,2023-01-29 00:00:00
Afghan Refugees in Iran,Afghan Refugees,IRN004,Iran,IRN,Displacement,3.6,4,High,Stable,Low,3.6,2.7,3.9,4.05,4.1,4,2.8,3.5,2,Middle east,2022-12-29 00:00:00
Multiple crises in Iraq,Country level,IRQ001,Iraq,IRQ,"Violence,Displacement,Socio-political,Conflict",3.9,4,High,Stable,High,4.3,4.7,4,3.55,4.1,3,4.1,3.7,4.5,Middle east,2023-01-23 00:00:00
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,"Conflict,Socio-political,Violence",3.9,4,High,Decreasing,High,4.3,4.7,4,3.5,4,3,4.1,3.7,4.5,Middle east,2023-01-23 00:00:00
Syrian and Palestinian refugees in iraq,Syrian Refugees,IRQ003,Iraq,IRQ,Displacement,2.9,3,Medium,Decreasing,Medium,1.8,1.5,2,2.9,2.8,3,3.6,3.7,3.5,Middle east,2023-01-23 00:00:00
Mixed migration flows in Italy,Mixed Migration,ITA002,Italy,ITA,Displacement,2,2,Low,Increasing,Very High,2.7,1.6,3.1,1.65,2.3,1,1.8,1.5,2,Europe,2023-01-27 00:00:00
Syrian refugees in Jordan,Syrian refugees,JOR002,Jordan,JOR,Displacement,2.7,3,Medium,Stable,Medium,2.7,3,2.6,3.1,3.2,3,2,2.5,1.5,Middle east,2023-01-23 00:00:00
Multiple crisis in Kenya ,Country level ,KEN001,Kenya,KEN,"Drought,Displacement",3.8,4,High,Increasing,Medium,3.9,3.8,3.9,4.25,4.5,4,3.1,3.6,2.5,Africa,2022-12-29 00:00:00
Refugee situation in Kenya,Refugee situation,KEN002,Kenya,KEN,Displacement,2.9,3,Medium,Stable,Medium,2.9,0.8,3.6,2.95,2.9,3,2.9,3.6,2,Africa,2022-11-24 00:00:00
Drought in Kenya,Drought,KEN003,Kenya,KEN,Drought,3.9,4,High,Increasing,Medium,4.5,3.8,4.75,4.2,4.4,4,2.9,3.6,2,Africa,2022-11-29 00:00:00
Syrian refugees in Lebanon,Syrian refugees,LBN002,Lebanon,LBN,Displacement,3.4,4,High,Decreasing,Medium,4.2,3.6,4.5,3.8,3.6,4,2.3,2.5,2,Middle east,2023-01-20 00:00:00
Socioeconomic crisis in Lebanon,Socioeconomic crisis,LBN004,Lebanon,LBN,"Socio-political,Violence,Tecnological Disaster",3.4,4,High,Decreasing,Medium,3.2,3.6,2.9,4.1,4.2,4,2.5,2.5,2.5,Middle east,2023-01-20 00:00:00
Complex crisis in Libya,Complex crisis,LBY001,Libya,LBY,"Conflict,Displacement,Socio-political",3.8,4,High,Increasing,Very High,4.6,4.5,4.6,3.2,3.4,3,4,3.3,4.5,Africa,2023-01-30 00:00:00
Mixed migration flows in Libya,Mixed Migration,LBY002,Libya,LBY,Displacement,3.4,4,High,Increasing,Very High,3.8,4.5,3.4,3.05,3.1,3,3.7,3.3,4,Africa,2023-01-30 00:00:00
Socio-economic crisis in Sri Lanka,Socio-economic crisis,LKA002,Sri Lanka,LKA,"Socio-political,Food Security",3.4,4,High,Stable,High,3.8,4.4,3.4,4.35,4.7,4,1.6,2.1,1,Asia,2023-01-30 00:00:00
Food security crisis in Lesotho,Food security crisis,LSO003,Lesotho,LSO,Food Security,2.2,3,Medium,-,Medium,2.6,2.7,2.5999999999999996,2.75,2.5,3,1,1.4,0.5,Africa,2023-01-27 00:00:00
Mixed migration flows in Morocco,Mixed Migration,MAR002,Morocco,MAR,Displacement,2.2,3,Medium,Increasing,High,3.5,4.9,2.3,0.75,0.5,1,2.8,3.1,2.5,Africa,2023-01-27 00:00:00
DIsplacement from Ukraine conflict in Moldova,Displacement from Ukraine conflict,MDA002,Moldova,MDA,"Displacement,Conflict",1.9,2,Low,Decreasing,Very High,1.5,0.2,2.1,2.35,1.7,3,1.4,1.8,1,Europe,2023-01-16 00:00:00
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,Drought,2.7,3,Medium,Increasing,Very High,2.4,2.1,2.6,3.45,3.9,3,1.7,2.3,1,Africa,2023-01-27 00:00:00
Multiple crisis in Mexico,Country Level,MEX001,Mexico,MEX,"Violence,Displacement",2.8,3,Medium,Stable,High,4.1,5,3.5,1.35,1.7,1,3.5,3,4,Americas,2023-01-24 00:00:00
Criminal Violence in Mexico,Criminal Violence,MEX002,Mexico,MEX,"Violence,Displacement",x,x,x,-,High,4.1,5,3.4,x,x,x,3.3,3,3.5,Americas,2023-01-24 00:00:00
Mixed Migration in Mexico,Mixed Migration,MEX003,Mexico,MEX,Displacement,2.6,3,Medium,Increasing,High,3.8,4.8,3,1.35,1.7,1,3,3,3,Americas,2023-01-24 00:00:00
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,Conflict,4.3,5,Very High,Stable,Very High,4.4,4.9,4.1,4.45,4.9,4,3.9,3.2,4.5,Africa,2023-01-27 00:00:00
Multiple crises in Myanmar,Country level,MMR001,Myanmar,MMR,"Socio-political,Conflict,Violence",4.5,5,Very High,Stable,High,4.7,4.9,4.6,4.5,5,4,4.2,3.9,4.5,Asia,2023-01-30 00:00:00
Rakhine Conflict,Rakhine conflict,MMR002,Myanmar,MMR,Conflict,3.9,4,High,Increasing,High,3.7,1.2,4.4,3.85,3.7,4,4,3.9,4,Asia,2023-01-30 00:00:00
Kachin and Shan Conflict,Kachin and Shan conflict,MMR003,Myanmar,MMR,Conflict,3.7,4,High,Decreasing,High,3.4,1.9,3.9,3.8,3.6,4,3.7,3.9,3.5,Asia,2023-01-30 00:00:00
Post-coup conflict in Myanmar,Post-coup conflict,MMR004,Myanmar,MMR,"Violence,Socio-political,Conflict",4.4,5,Very High,Stable,Very High,4.5,4.4,4.6,4.5,5,4,4,3.9,4,Asia,2023-01-30 00:00:00
Multiple Crises in Mozambique,Multiple Crises,MOZ001,Mozambique,MOZ,"Conflict,Displacement,Cyclone",3.6,4,High,Stable,High,3.7,4.3,3.3,3.45,3.9,3,3.9,3.7,4,Africa,2023-01-25 00:00:00
Cabo Delgado Islamist Insurgency,Violent Insurgency in Cabo Delgado,MOZ004,Mozambique,MOZ,"Conflict,Displacement",3.5,4,High,Increasing,High,3.7,2.7,4.1,3.35,3.7,3,3.4,3.7,3,Africa,2023-01-25 00:00:00
Refugees from Mali in Mauritania,Malian refugees,MRT002,Mauritania,MRT,Displacement,2.3,3,Medium,Increasing,Very High,2.6,1.8,2.9,2.35,1.7,3,1.9,2.2,1.5,Africa,2023-01-12 00:00:00
Food Security in Mauritania,Food security,MRT003,Mauritania,MRT,"Drought,Floods",2.7,3,Medium,Stable,High,2.7,4.3,1.4,3.05,3.1,3,2.1,2.2,2,Africa,2023-01-12 00:00:00
Complex crisis in Malawi,Complex,MWI002,Malawi,MWI,"Drought,Socio-political,Cyclone",3.3,4,High,Increasing,Very High,3.8,4.4,3.5,3.7,4.4,3,2.2,2.3,2,Africa,2023-01-24 00:00:00
International Refugees in Malaysia,International Refugees,MYS001,Malaysia,MYS,Displacement,2.3,3,Medium,Stable,High,2.8,1.7,3.3,2.05,2.1,2,2.1,1.7,2.5,Asia,2023-01-29 00:00:00
Food Security Crisis in Namibia,Food Security Crisis,NAM002,Namibia,NAM,Drought,2.5,3,Medium,Stable,Medium,2.8,4.2,1.7,3.05,3.1,3,1.3,1.5,1,Africa,2023-01-20 00:00:00
Multiple crises in Niger,Country level,NER001,Niger,NER,"Conflict,Displacement",3.9,4,High,Increasing,Very High,3.8,4.9,3,4.1,4.2,4,3.5,2.8,4,Africa,2023-01-27 00:00:00
Boko Haram in Niger,Boko Haram,NER002,Niger,NER,Conflict,3,3,Medium,Stable,Very High,3.2,1.2,3.9,3,3,3,2.9,2.8,3,Africa,2022-12-02 00:00:00
Mali/Burkina Faso conflict,Cross-border violence ,NER003,Niger,NER,Conflict,3.6,4,High,Stable,Very High,3,2.1,3.4,3.9,3.8,4,3.5,2.8,4,Africa,2023-01-27 00:00:00
Nigerian Refugees,Nigerian Refugees,NER004,Niger,NER,Displacement,2.6,3,Medium,Decreasing,Very High,1.7,1.1,2,3,3,3,2.7,2.8,2.5,Africa,2023-01-27 00:00:00
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence",4.1,5,Very High,Stable,High,4.5,5,4.2,4,5,3,4,3.4,4.5,Africa,2023-01-26 00:00:00
Middle belt conflict,Middle Belt,NGA003,Nigeria,NGA,Violence,3.3,4,High,Stable,Medium,3,2.2,3.4,3.35,3.7,3,3.5,3.4,3.5,Africa,2023-01-26 00:00:00
Boko Haram crisis in Nigeria,Boko Haram ,NGA004,Nigeria,NGA,"Conflict,Displacement",4.2,5,Very High,Stable,Medium,4.2,2.2,4.8,4.45,4.9,4,3.7,3.4,4,Africa,2023-01-26 00:00:00
Northwest Banditry,Northwest Banditry,NGA007,Nigeria,NGA,"Violence,Displacement",3.7,4,High,Stable,High,3.3,2.8,3.5,3.85,4.7,3,3.7,3.4,4,Africa,2023-01-26 00:00:00
Cameroonian Refugees in Nigeria,Cameroonian Refugees,NGA008,Nigeria,NGA,Displacement,2.2,3,Medium,Stable,High,2.3,2,2.5,1.3,1.6,1,3.5,3.4,3.5,Africa,2023-01-26 00:00:00
Socioeconomic crisis in Nicaragua,Socioeconomic crisis,NIC001,Nicaragua,NIC,Socio-political,x,x,x,Decreasing,High,2.9,4,2.1,x,x,x,2.9,2.7,3,Americas,2023-01-24 00:00:00
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,"Displacement,Conflict",3.8,4,High,Stable,High,3.9,5,3.1,4,5,3,3.4,3.3,3.5,Asia,2023-01-30 00:00:00
Kashmir conflict in Pakistan,Kashmir conflict,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Very Low,0.8,1,0.7,x,x,x,2.9,3.3,2.5,Asia,2023-01-30 00:00:00
Floods in Pakistan ,Monsoon floods 2022,PAK005,Pakistan,PAK,Other seasonal event,3.6,4,High,Stable,High,4.2,4.1,4.2,4,5,3,2.5,3.3,1.5,Asia,2023-01-30 00:00:00
Venezuela displacement in Panama,Venezuelan refugees,PAN002,Panama,PAN,Displacement,2.3,3,Medium,Increasing,Very High,2.9,2.6,3,2.2,1.4,3,1.9,1.8,2,Americas,2023-01-24 00:00:00
Venezuela displacement in Peru,Venezuelan refugees,PER002,Peru,PER,Displacement,3.2,4,High,Increasing,Very High,3.9,5,3,3.35,3.7,3,2.3,2.5,2,Americas,2022-12-23 00:00:00
Multiple crises in the Philippines,Country level,PHL001,Philippines,PHL,"Conflict,Cyclone,Violence,Floods,Other seasonal event",2.7,3,Medium,Decreasing,High,3.5,4.8,2.4,2.15,2.3,2,2.7,2.9,2.5,Asia,2023-01-30 00:00:00
Mindanao conflict,Mindanao Conflict,PHL003,Philippines,PHL,"Conflict,Violence",2.2,3,Medium,Increasing,Medium,2.9,3,2.8,1.5,2,1,2.7,2.9,2.5,Asia,2023-01-30 00:00:00
Typhoon Nalgae,Typhoon Nalgae,PHL012,Philippines,PHL,Cyclone,2.3,3,Medium,-,Very High,3,4.4,2,1.6,1.2,2,2.7,2.9,2.5,Asia,2023-01-30 00:00:00
"LPAs, Northeast Monsoon, and Shear Line","LPAs, Northeast Monsoon, and Shear Line",PHL013,Philippines,PHL,"Floods,Other seasonal event",2,2,Low,-,Very High,2.3,3.6,1.4,1.4,1.8,1,2.7,2.9,2.5,Asia,2023-01-31 00:00:00
Highlands Violence,Highlands Violence,PNG003,Papua New Guinea,PNG,Earthquake,2.6,3,Medium,Decreasing,Very High,2.3,1.8,2.5,2.7,2.4,3,2.8,2.5,3,Pacific,2023-01-30 00:00:00
Displacement from Ukraine conflict in Poland,Displacement from Ukraine conflict,POL002,Poland,POL,"Displacement,Conflict",2.5,3,Medium,Decreasing,Very High,2.9,1.9,3.3,3.35,3.7,3,0.9,0.8,1,Europe,2023-01-30 00:00:00
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",3.7,4,High,Decreasing,Medium,4,4.6,3.6,4.5,5,4,2.3,2.6,2,Asia,2023-01-30 00:00:00
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,"Conflict,Socio-political,Violence",3.5,4,High,Decreasing,High,4,3.4,4.2,3.45,3.9,3,3.3,2.3,4,Middle east,2023-01-23 00:00:00
Regional Boko Haram Crisis,Regional Boko Haram,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",0,4.4,5,Very High,Stable,High,4.1,2.4,4.6,4.5,5,4,4.4,3.6,5,"Africa,Africa,Africa,Africa",2022-10-29 00:00:00
Venezuela Regional Crisis,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",0,3.9,4,High,Stable,High,3.6,3.4,3.7,4,5,3,3.8,2.7,4.5,"Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",2022-10-31 00:00:00
Regional Kashmir conflict,Regional Kashmir conflict,REG003,"India,Pakistan","IND,PAK",0,x,x,x,-,Very Low,3.3,2.1,3.7,x,x,x,2.8,3,2.5,"Asia,Asia",2023-01-31 00:00:00
Syrian Regional Crisis,Syrian Regional Crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",0,4.3,5,Very High,Increasing,High,3.9,3,4.2,4.5,5,4,4.1,3.6,4.5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2023-01-20 00:00:00
Eastern Mediterranean Route ,Eastern Mediterranean Route ,REG006,"Turkey,Greece","TUR,GRC",0,2.3,3,Medium,Decreasing,Medium,2.7,3,2.6,2.1,2.2,2,2.3,2.6,2,"Middle east,Europe",2023-01-20 00:00:00
Central Mediterranean Route,Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",0,3,3,Medium,Stable,Very High,3.8,4.4,3.4,2.25,3.5,1,3.4,2.6,4,"Africa,Africa,Africa,Europe",2023-01-30 00:00:00
Western Mediterranean Route,Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",0,2.7,3,Medium,Increasing,Very High,3.6,4.5,3,1.9,2.8,1,3.1,2.7,3.5,"Africa,Africa,Europe",2023-01-27 00:00:00
Rohingya Regional Crisis,Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",0,3.9,4,High,Stable,Very High,3.6,1.3,4.3,4.1,4.2,4,3.8,3.5,4,"Asia,Asia",2023-01-31 00:00:00
Southern Africa Regional Food Security Crisis,Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",0,3.6,4,High,Increasing,Very High,3.7,4.1,3.4,4,5,3,2.9,2.7,3,"Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",2023-01-31 00:00:00
Nagorno-Karabakh Conflict,Regional Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",0,1.8,2,Low,Stable,High,2.3,2,2.5,1.35,0.7,2,1.9,2.3,1.5,"Middle east,Middle east",2023-01-30 00:00:00
Eastern Africa Regional Drought Crisis,Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",Drought,4.4,5,Very High,Increasing,High,4.2,4.3,4.2,4.5,5,4,4.5,3.8,5,"Africa,Africa,Africa",2022-12-27 00:00:00
Displacement from Ukraine conflict in Romania,Displacement from Ukraine conflict,ROU002,Romania,ROU,"Conflict,Displacement",1.4,2,Low,Decreasing,Very High,1.7,2,1.6,1.35,1.7,1,1.2,1.3,1,Europe,2023-01-30 00:00:00
Burundi and DRC refugees in Rwanda,Refugees,RWA002,Rwanda,RWA,Displacement,2.4,3,Medium,Stable,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2023-01-27 00:00:00
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,"Displacement,Violence,Floods",4.4,5,Very High,Stable,Very High,4.4,4.8,4.2,4.5,5,4,4.1,4.2,4,Africa,2023-01-24 00:00:00
